Nº,Texto con distorsión cognitiva,Tipo de distorsión,,,,,Texto libre,Pensamiento alternativo,Construcciones tricky,,Distorsión: Texto Largo (>=3 frases),Distorsión secundaria opcional,Pensamiento alternativo
,"Existen diferentes tipos de distorsiones cognitivas. En la literatura, se han descrito diferentes clasificaciones con un número variado de distorsiones y, a día de hoy, no hay un consenso claro. Por ello, puede existir cierto solapamiento entre los tipos de distorsión o discrepancia entre los especialistas evaluadores.","¿Cuál de los siguientes tipos de distorsión cognitiva se ajusta más a esta frase?
* Por favor, seleccione mínimo un tipo de distorsión, aunque puede seleccionar más de uno si lo considera. 
* Si no detecta más que un tipo de distorsión, sólo marque una y deje las otras casillas en blanco.
* Si el texto no se ajusta a las instrucciones o quiere hacer algún comentario, puede escribir un texto libre.
* Puede consultar información sobre los tipos de distorsión en la pestaña Leyenda.",,,,,,"Alternativa al pensamiento distorsionado. Se puede ""devolver"" al paciente durante la intervención.",Ejemplos SIN distorsión pero con similar construcción semántica (palabras) o sintáctica (estructura de la frase),,"Sobregeneralización: Proceso de extraer conclusiones basándose en unas o pocas experiencias.
Por favor, marque el fragmento de texto correspondiente a la distorsión principal.","Si las frases contienen otra distorsión cognitiva asociada a la distorsión principal, por favor indique cuál. 
Si no extste una distorsión secundaria, deje esta casilla en blanco.","Alternativa al pensamiento distorsionado. Se puede ""devolver"" al paciente durante la intervención."
,Sobregeneralización,,,,,,,,,,,,
1,Todo me sale mal… ,Sobregeneralización,,,,,,A veces las cosas no salen como yo esperaba y esto me cuesta de asumir,siempre me he sentido respaldado por mis amigos,,"Mis amigos hacen ver que se preocupan por mi, me preguntan constantemente como estoy, pero siempre me miran mal, así que en el fondo se que no les importo nada.",,"Aunque yo crea que mis amigos me miran mal, eso no quiere decir que no les importe, me animan y eso es lo más importante."
2,Nunca cumple con su palabra… es que siempre hace igual,Sobregeneralización,,,,,,Mi hermano algunas veces no cumple con su palabra,no comparto nada de lo que dices,,"Llevo ya años estudiando, y por mucho que lo intento no puedo concentrarme, siempre me pasa lo mismo, aunque me esfuerzo mucho no lo consigo. No vale la pena seguir intentándolo.",,"Que no lo haya conseguido una vez eso no quiere decir que nunca vaya a poder concentrarme, aunque no lo crea si que vale la pena seguir intentándolo."
4,Todo lo hago igual,Sobregeneralización,,,,,,Algunas veces hago las cosas de la misma forma,todos los años pasa algo,,"Estoy cansada de seguir siempre igual con mi familia. Haga lo que haga nunca me entienden, no se ponen en mi lugar, no saben lo mucho que llego a sufrir.",,"Aunque haya veces que me sienta incomprendido por mi familia, eso no quiere decir que puedan entenderme la mayoría de las veces."
5,Todo el mundo tiene la misma actitud.,Sobregeneralización,,,,,,Hay personas con una actitud que me desagrada,todo lo relacionado con la política me disgusta,,"Hace ya un año que nació mi hijo, desde entonces no he parado de cometer errores. Aunque intento hacerlo lo mejor posible, nunca conseguiré ser una buena madre, no llego a estar a la altura. ",,"Cometer errores forma parte del proceso, eso no te hace ser una mala madre."
6,Nadie me quiere.,Sobregeneralización,,,,,,Algunas personas no me queiren,Siempre me han gustado las matemáticas ,,"Hace mucho tiempo que me siento así, desde que me desmayé la última vez tengo miedo de salir de casa por si me vuelve a ocurre algo malo. Nunca seré capaz de salir ni de mejorar.",,"Que haya ocurido algo malo una vez en el pasado no tiene porque volver a ocurrir, siempre puedo mejorar."
7,nunca me salen bien las cosas,Sobregeneralización,,,,,,Tengo la sensacion de que pocas veces me salen las cosas como espero,Nunca he ido a italia,,"Todas las parejas que he tenido al final han acabado engañándome, si vulevó a tener otra pareja en el futuro volverá a ocurrir lo mismo, nunca me van a querer.",,El hecho de que haya tenido parejas que me han engañado no implica que las que tenga en el futuro vayan a hacerlo también.
8,siempre me encuentro igual de mal,Sobregeneralización,,,,,,"Muchos días me encuentro mal, aunque algunos me encuentro bien",Me gusta comer de todo,,"Me da mucha verguenza hablar con la gente, tengo miedo que se rían de mi y que piensen que soy un inútil. Aunque lo intente nunca seré capaz de hacer amigos.",,"Aunque ahora piense que soy incapaz de hacer amigos, si me esfuerzo y lo intento seguramente voy a poder ser capaz."
9,todo lo que hago está mal,Sobregeneralización,,,,,,Puedo equivocarme pero esto no siginfica que lo haga todo mal,Siempre me levanto temprano,,"Me esfuerzo por estarlo pero casi nunca estoy bien, mi familia ya ha desistido y ya no le ven solución. Hace muchos años ya que estoy así y la situación no parece que vaya a cambiar.",,"Que haga años que esté mal no implica que la situación vaya a tener que seguir así siempre, se puede cambiar."
10,siento constantemente que a nadie le importo,Sobregeneralización,,,,,,Algunas personas no estan tant pendientes de mi como me gustaria,Todo lo que me dijo tenía sentido,,"Desde que empecé el nuevo trabajo, el jefe siempre me dice que lo hago todo mal, da igual lo mucho que me esfuerce en hacer las cosas bien que nunca va a reconocer mi trabajo. ",,Aunque el jefe me diga que haya ciertas cosas que no hago bien eso no quiere decir que lo haga todo mal y que no reconozca mi trabajo.
11,nadie me echa cuenta,Sobregeneralización,,,,,,A veces hay personas que no me quieren tanto como yo querria,Siempre estoy de buen humor,,"En casa soy la única que se pasa el día limpiando y cocinando, aunque siempre insisto y se lo recuerdo mi pareja nuca hace nada y no creo que vaya a conseguir que nunca lo haga.",,"Aunque la mayoría de las veces soy yo la que limpio, eso no quiere decir que mi pareja nunca haga nada."
12,nadie me valora,Sobregeneralización,,,,,,"Me cuesta sentirme querida, esto no siginifca que nadie me quiera",Me gustan todos los tipos de música,,"Soy un fracasado, desde que era pequeño nunca nada me sale bien, no voy a conseguir nada en la vida porque estoy estancado y siento que no avanzo.",,"Aunque yo sienta que las cosas no me salen bien, eso no quiere decir que siempre vaya a ser así, puedo cambiar."
