id,texto,categoría,tipo1,tipo2,tipo3,tipo4,tipo5
d_1,Todo me sale mal… ,distorsión,Sobregeneralización,,,,
d_2,Nunca cumple con su palabra… es que siempre hace igual,distorsión,Sobregeneralización,,,,
d_3,Todo lo hago igual,distorsión,Sobregeneralización,,,,
d_4,Todo el mundo tiene la misma actitud.,distorsión,Sobregeneralización,,,,
d_5,Nadie me quiere.,distorsión,Sobregeneralización,,,,
d_6,nunca me salen bien las cosas,distorsión,Sobregeneralización,,,,
d_7,siempre me encuentro igual de mal,distorsión,Sobregeneralización,,,,
d_8,todo lo que hago está mal,distorsión,Sobregeneralización,,,,
d_9,siento constantemente que a nadie le importo,distorsión,Sobregeneralización,,,,
d_10,nadie me echa cuenta,distorsión,Sobregeneralización,,,,
d_11,nadie me valora,distorsión,Sobregeneralización,,,,
d_12,siempre tengo problemas,distorsión,Sobregeneralización,,,,
d_13,jamás tendré fuerzas para conseguir lo que quiero,distorsión,Sobregeneralización,Adivinación,Catastrofismo,,
d_14,constantemente estoy haciendo las cosas mal,distorsión,Sobregeneralización,,,,
d_15,nunca podré hacer mi tarea,distorsión,Sobregeneralización,Adivinación,,,
d_16,casi nunca estoy bien,distorsión,Sobregeneralización,,,,
d_17,nadie me tiene en cuenta,distorsión,Sobregeneralización,,,,
d_18,todo lo hago mal,distorsión,Sobregeneralización,,,,
d_19,siempre me ignora,distorsión,Sobregeneralización,,,,
d_20,mi pareja siempre hace lo mismo,distorsión,Sobregeneralización,,,,
a_1,A veces las cosas no salen como yo esperaba y esto me cuesta de asumir,alternativo,,,,,
a_2,Mi hermano algunas veces no cumple con su palabra,alternativo,,,,,
a_3,Algunas veces hago las cosas de la misma forma,alternativo,,,,,
a_4,Hay personas con una actitud que me desagrada,alternativo,,,,,
a_5,Algunas personas no me queiren,alternativo,,,,,
a_6,Tengo la sensacion de que pocas veces me salen las cosas como espero,alternativo,,,,,
a_7,"Muchos días me encuentro mal, aunque algunos me encuentro bien",alternativo,,,,,
a_8,Puedo equivocarme pero esto no siginfica que lo haga todo mal,alternativo,,,,,
a_9,Algunas personas no estan tant pendientes de mi como me gustaria,alternativo,,,,,
a_10,A veces hay personas que no me quieren tanto como yo querria,alternativo,,,,,
a_11,"Me cuesta sentirme querida, esto no siginifca que nadie me quiera",alternativo,,,,,
a_12,"A menudo tengo probelmas, todos tenemos problemas a veces",alternativo,,,,,
a_13,"Me cuesta sacar fuerzas para conseguir lo que quiero, pero tengo claro que necesito hacerlo. ",alternativo,,,,,
a_14,"Algunas veces me equivoco, esto no quier decir que lo haga todo mal",alternativo,,,,,
a_15,"Me cuesta hacer mi tarea, tendré que centrarme en ella",alternativo,,,,,
a_16,A veces no estoy bien,alternativo,,,,,
a_17,"Me cuesta sentirme querida, esto no siginifca que nadie me quiera",alternativo,,,,,
a_18,A veces me equivoco pero esto no significa que siempre me salgan las cosas mal,alternativo,,,,,
a_19,Mi hermano a veces me ignora,alternativo,,,,,
a_20,Mi pareja a veces hace cosas que no me gustan,alternativo,,,,,
t_1,siempre me he sentido respaldado por mis amigos,tricky,,,,,
t_2,no comparto nada de lo que dices,tricky,,,,,
t_3,todos los años pasa algo,tricky,,,,,
t_4,todo lo relacionado con la política me disgusta,tricky,,,,,
t_5,Siempre me han gustado las matemáticas ,tricky,,,,,
t_6,Nunca he ido a italia,tricky,,,,,
t_7,Me gusta comer de todo,tricky,,,,,
t_8,Siempre me levanto temprano,tricky,,,,,
t_9,Todo lo que me dijo tenía sentido,tricky,,,,,
t_10,Siempre estoy de buen humor,tricky,,,,,
t_11,Me gustan todos los tipos de música,tricky,,,,,
t_12,Nunca tomo el sol sin protección ,tricky,,,,,
t_13,Siempre me ha gustado bailar,tricky,,,,,
t_14,Cada día como pan,tricky,,,,,
t_15,No me gusta nada la col,tricky,,,,,
t_16,nunca me he sentido solo cuando he necesitado ayuda,tricky,,,,,
t_17,Nada con mucho estilo,tricky,,,,,
t_18,Siempre pasan cosas,tricky,,,,,
t_19,Todos podemos sentirnos mal,tricky,,,,,
t_20,Las cosas nunca salen iguales,tricky,,,,,
d_21,"Simplemente lo sé, estoy convencida. Piensa que soy lo peor.",distorsión,Leer la mente,,,,
d_22,"Sé que mi padre, en el fondo, piensa que soy un inútil.",distorsión,Leer la mente,,,,
d_23,El ascensorista piensa que soy un don nadie.,distorsión,Leer la mente,,,,
d_24,Yo no le gusto a ella.,distorsión,Leer la mente,,,,
d_25,"Siempre está sonriendo, pero sé que no me quiere.",distorsión,Leer la mente,,,,
d_26,la gente del trabajo me odia,distorsión,Leer la mente,,,,
d_27,estoy convencido de que no me quieren tanto como yo a ellos,distorsión,Leer la mente,,,,
d_28,"siempre me dice que me quiere, pero sé que no es verdad",distorsión,Leer la mente,Sobregeneralización,,,
d_29,"nunca me ha dicho nada malo, pero sé que me odia",distorsión,Leer la mente,Sobregeneralización,,,
d_30,Seguro que piensan que no me implico lo suficiente ,distorsión,Leer la mente,,,,
d_31,Estoy seguro que mis amigos creen que deberia estar más atenta a sus necesidades y que ultimamente paso de ellos,distorsión,Leer la mente,Imperativos,,,
d_32,"siempre está sonriendo, pero sé que me odia",distorsión,Leer la mente,,,,
d_33,"aunque me dice que me quiere, estoy convencida de que miente",distorsión,Leer la mente,,,,
d_34,"aunque me ayuda, sé que no me quiere",distorsión,Leer la mente,,,,
d_35,estoy seguro de que no le caigo bien aunque me diga que sí,distorsión,Leer la mente,,,,
d_36,"nunca me ha dicho nada, pero sé que piensa mal de mí",distorsión,Leer la mente,,,,
d_37,sé que me odian,distorsión,Leer la mente,,,,
d_38,estoy convencido de que no me quieren tanto como yo a ellos,distorsión,Leer la mente,,,,
d_39,"siempre me dice que me quiere, pero sé que no es verdad",distorsión,Leer la mente,,,,
d_40,"nunca me ha dicho nada malo, pero sé que me odia",distorsión,Leer la mente,,,,
a_21,No puedo saber lo que piensa si no le pregunto. Serà mejor que hablemos directamente,alternativo,,,,,
a_22,"Creo que mi padre piensa que soy inutil, pero realmente no tengo hechos que me lo indiquen",alternativo,,,,,
a_23,No puedo saber lo que piensa el ascensorista de mi si no le pregunto,alternativo,,,,,
a_24,No puedo saber si le gusto o no si no le pregunto,alternativo,,,,,
a_25,Creo que no me quiere ,alternativo,,,,,
a_26,"Pienso que la gente me odia, pero realmente no sé si es verdad",alternativo,,,,,
a_27,Tengo la sensación que yo quiero más a la gente de lo que me quieren,alternativo,,,,,
a_28,Si mi pareja me dice que me quiere lo más probable es que sea verdad,alternativo,,,,,
a_29,Me trata bien aunque a veces me hace pensar que me odia,alternativo,,,,,
a_30,"Tengo la sensación que me estoy implicando menos que antes, pero no puedo saber lo que piensan de mi si no les pregunto",alternativo,,,,,
a_31,"Me parece que a mis amigos les gustaria que les dedicara más tiempo, hablaré con ellos y les explicaré lo que me pasa.",alternativo,,,,,
a_32,Creo que me odia,alternativo,,,,,
a_33,"Si me dice que me quiere lo más seguro es que sea verdad, no tiene porque mentirme",alternativo,,,,,
a_34,Como me ayuda supongo que soy una persona importante para ella,alternativo,,,,,
a_35,"Si me dice que si, lo más probable es que le caiga bien",alternativo,,,,,
a_36,No puedo sacar conclusiones con la información que tengo ya que nunca me lo han dicho,alternativo,,,,,
a_37,a veces pienso que me odian,alternativo,,,,,
a_38,Quiero mucho a mis amigos y a veces pienso que ellos a mi no tanto,alternativo,,,,,
a_39,"No puedo saber lo que piensa, pero puedo fijarme en los hechos para saber si me quiere",alternativo,,,,,
a_40,No tengo nada que justifique mi pensameinto de que me odia si nunca me ha dicho nada malo,alternativo,,,,,
t_21,estoy seguro de mis capacidades,tricky,,,,,
t_22,"estoy convencido de que el examen te va a ir bien, ya que has estudiado para ello.",tricky,,,,,
t_23,ándate con cuidado con los papeles del seguro del coche.,tricky,,,,,
t_24,no hay nada seguro en esta vida,tricky,,,,,
t_25,estoy segura que mañana lloverá,tricky,,,,,
t_26,Se que mi hermana es muy amable y que tiene muchos amigos ,tricky,,,,,
t_27,Estoy convencido de que todo saldrá bien ,tricky,,,,,
t_28,Se que la leche me sienta mal,tricky,,,,,
t_29,Estoy convencido de la decisión que acabo de tomar.,tricky,,,,,
t_30,Estoy seguro en este lugar al que he ido a vivir. ,tricky,,,,,
t_31,Solo sé que no sé nada.,tricky,,,,,
t_32,Sé hacer muy bien mi trabajo. ,tricky,,,,,
t_33,Estoy seguro de mi mismo,tricky,,,,,
t_34,Piensa mal y acertarás ,tricky,,,,,
t_35,Se piensa mejor cuando se duerme bien ,tricky,,,,,
t_36,Mi hermana no piensa; actúa impulsivamente.,tricky,,,,,
t_37,Estoy plenamente convencido de la inversión que voy a hacer.,tricky,,,,,
t_38,"Sé que si no ceno, por la noche tendré hambre.",tricky,,,,,
t_39,Estoy seguro de mis habilidades artísticas,tricky,,,,,
t_40,Estoy convencido de que mañana ganaremos el partido,tricky,,,,,
d_41,Tengo que estudiar como sea,distorsión,Imperativos,,,,
d_42,deberían de ser más amables conmigo,distorsión,Imperativos,,,,
d_43,debería limpiar más mi casa porque siempre está muy sucia,distorsión,Imperativos,,,,
d_44,debería planificar las vacaciones y buscar con quién dejar a los niños mientras yo no estoy,distorsión,Imperativos,,,,
d_45,debería zanjar todos los temas de trabajo urgentemente,distorsión,Imperativos,,,,
d_46,Tengo que ser más responsable y planifica mejor las semanas,distorsión,Imperativos,,,,
d_47,Debo sacar como sea adelante el curso.,distorsión,Imperativos,,,,
d_48,Deberían ser más amables conmigo,distorsión,Imperativos,,,,
d_49,Tengo que estudiar mínimo 2 horas al día como sea ,distorsión,Imperativos,,,,
d_50,tengo que hacer muchas cosas pero nunca tengo tiempo,distorsión,Imperativos,,,,
d_51,debería volver a considerar otras opciones,distorsión,Imperativos,,,,
d_52,tengo que comer menos,distorsión,Imperativos,,,,
d_53,he engordado ultimamente y tengo que adelgazar,distorsión,Imperativos,,,,
d_54,tengo que esforzarme más,distorsión,Imperativos,,,,
d_55,mi pareja tendría que ser más cariñoso conmigo,distorsión,Imperativos,,,,
d_56,tengo que ser el mejor si no me despedirán,distorsión,Imperativos,,,,
d_57,tengo que trabajar más,distorsión,Imperativos,,,,
d_58,mi familia tiene que ser más amable conmigo,distorsión,Imperativos,,,,
d_59,"Debería hacer las cosas con más antelación, luego me pongo nervioso",distorsión,Imperativos,,,,
d_60,Debo hablar mejor a la gente o me voy a quedar solo,distorsión,Imperativos,Adivinación,,,
a_41,Me iria bien ponerme a estudiar ahora,alternativo,,,,,
a_42,me gustaria que la gente fuese más amable conmigo,alternativo,,,,,
a_43,La casa esta sucia podria dedicar una tarde a limpiarla,alternativo,,,,,
a_44,Se acercan las vacaciones es mejor que me ponga ya a organizarlas por si salen imprevistos,alternativo,,,,,
