,text,pre_annotation,xavi,miriam,mireia,agreement
a_133,"Me he equivocado en el nombre de un informe, seguramente mi jefa me dirá que me he de fijar más en estos detalles",['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
t_198,Todo el mundo se pone nervioso,['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
d_159,"Fue simpático y agradable conmigo durante la cita. No obstante, lo ví mirar el reloj 2 veces. Seguro que soy una persona aburrida",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_135,"He engordado 4 kgs, esto es tremendo, inaceptable, no valgo para nada",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_80,Esta vez mi amiga no ha tenido en cuenta lo que yo necesitaba,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_7,Me gusta comer de todo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_117,me sentiré mejor en algún momento,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_191,"Me han ascendido en el trabajo, será que lo he hecho bien",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_194,Cuando mis padres se divorciaron estuve seguro que fue por mi culpa,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_59,Tengo que hacer la comida,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_115,si estudio es menos probable que me quede en blanco en el examen.,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_65,no soy inteligente,['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
t_116,voy a suspender como no entregue los trabajos,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_26,Se que mi hermana es muy amable y que tiene muchos amigos ,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_149,"Quizás no cometí tantos errores, pues la mayoría me felicitó",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_62,no soy guapo,['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
t_160,Me he portado mal en clase por lo que me han castigado,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_48,Me gustaria que la gente fuese más amable conmigo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_54,tengo que esforzarme más,['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
d_199,En el trabajo tenía la impresión de que cada vez que el encargado hablaba de que había que mejorar la calidad del trabajo se referían exclusivamente a mi,['distorsión'],['distorsión'],['no distorsión'],['no distorsión'],2
t_55,Tengo que estudiar para el examen,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_165,"Me siento solo, pero puedo encontrar buenos amigos",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_38,estoy convencido de que no me quieren tanto como yo a ellos,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_100,si no estoy delgado no soy feliz,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_51,debería volver a considerar otras opciones,['distorsión'],['no distorsión'],['distorsión'],['no distorsión'],2
