,text,pre_annotation,miriam,xavi,mireia,agreement,Rejected
t_198,Todo el mundo se pone nervioso,[],"['sobregeneralización', 'pensamiento absolutista']",['sobregeneralización'],[],2.0,
d_159,"Fue simpático y agradable conmigo durante la cita. No obstante, lo ví mirar el reloj 2 veces. Seguro que soy una persona aburrida","['Abstracción selectiva', 'Etiquetado']",['leer la mente'],['abstracción selectiva'],['abstracción selectiva'],2.0,
d_135,"He engordado 4 kgs, esto es tremendo, inaceptable, no valgo para nada",['Catastrofismo'],"['sobregeneralización', 'catastrofismo', 'pensamiento absolutista']","['abstracción selectiva', 'sobregeneralización']","['catastrofismo', 'abstracción selectiva', 'sobregeneralización']",3.0,
d_194,Cuando mis padres se divorciaron estuve seguro que fue por mi culpa,['Personalización'],['personalización'],['personalización'],"['adivinación', 'leer la mente']",2.0,
d_65,no soy inteligente,['Etiquetado'],['pensamiento absolutista'],['etiquetado'],,1.0,
d_62,no soy guapo,['Etiquetado'],['pensamiento absolutista'],['etiquetado'],,1.0,
d_54,tengo que esforzarme más,['Imperativos'],['imperativos'],['imperativos'],,2.0,
d_199,En el trabajo tenía la impresión de que cada vez que el encargado hablaba de que había que mejorar la calidad del trabajo se referían exclusivamente a mi,['Personalización'],"['personalización', 'adivinación']",['personalización'],,2.0,
d_38,estoy convencido de que no me quieren tanto como yo a ellos,['Leer la mente'],['razonamiento emocional'],['leer la mente'],"['adivinación', 'leer la mente']",2.0,
d_100,si no estoy delgado no soy feliz,['Pensamiento absolutista'],['sobregeneralización'],['pensamiento absolutista'],['pensamiento absolutista'],2.0,
d_106,"aunque ahora mismo estoy bien, estoy convencida de que va a pasar algo malo",['Adivinación'],['adivinación'],['adivinación'],['adivinación'],3.0,
d_166,"Siento que no puedo con esto, por tanto, no puedo.",['Razonamiento emocional'],"['razonamiento emocional', 'pensamiento absolutista']",['razonamiento emocional'],['razonamiento emocional'],3.0,
d_74,es que soy imbecil no tengo remedio,['Etiquetado'],['etiquetado'],['etiquetado'],['etiquetado'],3.0,
t_52,"Mi padre tiene que jubilarse, ya tiene 65 años",[],['imperativos'],['imperativos'],[],2.0,
d_84,"Si no estás conmigo, estás contra mí",['Pensamiento absolutista'],['abstracción selectiva'],['pensamiento absolutista'],['pensamiento absolutista'],2.0,
d_92,o apruebo el examen o no tendré futuro,['Pensamiento absolutista'],"['abstracción selectiva', 'adivinación']","['adivinación', 'pensamiento absolutista']",['pensamiento absolutista'],2.0,
d_149,En el trabajo me felicitaron todos excepto mi jefe. Seguro que cometí muchos errores en el proyecto,['Abstracción selectiva'],"['personalización', 'adivinación', 'catastrofismo']",['abstracción selectiva'],['abstracción selectiva'],2.0,
