,text,pre_annotation,all,agreement %
d_626,soy repulsivo,['etiquetado'],['etiquetado'],100.0
d_1451,"Han llamado del medico porque han empeorado las analíticas, no se que es lo que he hecho mal",['personalización'],[],0.0
d_870,prefiero no intentarlo porque sé que suspenderé,['adivinación'],['adivinación'],100.0
d_558,Mi pareja debe saber cuando no estoy bien,['imperativos'],"['imperativos', 'adivinación']",100.0
d_819,Sinó encuentro el mejor regalo para ella nunca más querrá ser mi amiga,"['pensamiento absolutista', 'catastrofismo']","['catastrofismo', 'abstracción selectiva']",50.0
d_1025,"Me espera lo peor, un auténtico infierno",['catastrofismo'],"['catastrofismo', 'adivinación']",100.0
d_1355,Hasta que no sienta que soy importante en esta empresa no habré logrado mi meta,['razonamiento emocional'],[],0.0
d_1116,Les voy a aburrir tanto en la charla que todo el mundo se va a ir a la mitad,['catastrofismo'],"['leer la mente', 'adivinación', 'sobregeneralización']",0.0
d_1233,Todo iba bien con mi mejor amigo hasta que ayer nos enfadamos. Seguro que cree que no soy buen amigo ,"['abstracción selectiva', 'leer la mente']",['abstracción selectiva'],50.0
d_780,Si no voy a todos los planes de mis amigos me echarán del grupo,['pensamiento absolutista'],"['abstracción selectiva', 'catastrofismo']",0.0
d_306,Todos los jefes son malos,['sobregeneralización'],['pensamiento absolutista'],0.0
a_418,Puede que el director del colegio me tenga manía; no estoy seguro.,[],[],0.0
a_540,Creo que está bien que los demás tengan en cuenta mi opinión,[],[],0.0
d_1209,"Venía contento de la escuela, pero en la cena me han puesto algo que no me gusta. Que día más horrible!","['abstracción selectiva', 'catastrofismo']",['abstracción selectiva'],50.0
d_1392,"Cuando le he pedido a Anna para hacer un café y me ha dicho que no, seguro que es poque soy un pringado","['personalización', 'etiquetado']","['etiquetado', 'abstracción selectiva', 'personalización']",100.0
d_1247,"Estuvo todo el día apoyándome, pero también me dijo que tenía que ser más fuerte. Seguro que piensa que soy una carga ","['abstracción selectiva', 'leer la mente']","['personalización', 'abstracción selectiva']",50.0
a_1182,"No sé si querrá volver a quedar o no. Lo cierto es que estuvo cómoda, más allá de ese comentario.",[],[],0.0
d_448,"Si lloro en público, seguro que piensan que soy vulnerable.",['leer la mente'],"['personalización', 'abstracción selectiva']",0.0
